אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
ד'לך אלואחד חצל עליה	ذلك الواحد حصل عليه
פי אלחאל אלעאשר פצפא	في الحال العاشر فصفى
לה וכ'לץ ואסקט ג'מיע	له وخلص وأسقط جميع
אלאבואב אלאואיל ען נפסה	الأبواب الأوائل عن نفسه
אלתי כאנת תשכל עליה מטלובה	التي كانت تشكل عليه مطلوبه
ותלבסה מן קבל אלנט'ר	وتلبسه من قبل النَّظر
פיה ועזל ואחדא ואחדא	فيه وعزل واحدًا واحدًا
מנהא פקד תבין אן אלנאט'ר	منها فقد تبيّن أنَّ النَّاظر
אבתדי מן אשיא כת'ירה	ابتدأ من أشياء كثيرة
מכ'תלטה פלם יזל יצפיהא	مختلطة فلم يزل يصفِّيها
תסעה מן עשרה ת'ם ת'מאניה	تسعة من عشرة ثمّ ثمانية
מן תסעה ת'ם סבעה מן ת'מאניה	من تسعة ثمّ سبعة من ثمانية
חתי אנצרפת ענה אלמכ'תלטאת	حتّى انصرفت عنه المختلطات
ואלמשכלאת ובקי לה אלכ'אלץ	والمُشكلات وبقي له الخالص
אלמחץ' . פאן הו קטע אלנט'ר	المحض . فإنْ هو قطع النَّظر
ענד וצולה אלי חאל אלכ'אמס	عند وصوله إلى حال الخامس
או אלראבע או איהֿ אלמנאזל	أو الرابع أو أية المنازل
כאנת פקד זאל ענה מן אלשבה	كانت فقد زال عنه من الشُبَه
במקדאר אלמנאזל אלתי כ'לפהא	بمقدار المنازل التي خلَّفها
וראה ובקי עליה מנהא במקדאר	وراءه وبقي عليه منها بمقدار
מא בקי מן אלמנאזל אלתי	ما بقي من المنازل التي
בין ידיה פאן הו תמסך	بين يديه فإنْ هو تمسَّك
בחית' בלג רג'י לה אן	بحيث بلغ رُجي له أنْ
יעוד עליה בתמאמה פאן	يعود عليه بتمامه فإنْ
לם יתמסך בה אחתאג' אלי	لم يتمسَّك به احتاج إلى
אן יעיד אלנט'ר מן אולה	أنْ يُعيد النَّظر من أوَّله
ולהד'א אלסבב צ'ל קום	ولهذا السبب ضلَّ قوم
כת'ירון וזהדוא פי אלחכמה	كثيرون وزهدوا في الحكمة
בעץ' מנהם לאנה לם יערף	بعض منهم لأنَّه لم يعرف
כיף אלטריק אליהא ובעץ'	كيف الطَّريق إليها وبعض
אכ'ר לאנה אכ'ד' פי טריקהא	آخر لأنَّه أخذ في طريقها
ולם יסתתמהא פכאנוא מן	ولم يستتمّها فكانوا من
אלהאלכין ועלי מא קאל	الهالكين وعلى ما قال
אלכתאב : H H ، H H H	الكتاب : H H ، H H H
H H . וקאל עלמא בני אסראיל	H H . وقال علماء بني إسرائيل
פי מן לא יסתופי מעני	في من لا يستوفي معنى
אלחכמה : H H H H H H	الحكمة : H H H H H H
H H H H , פדלנא קולהם	H H H H , فدلَّنا قولهم
הד'א אן אלתלאמיד' אד'א	هذا أنَّ التَّلاميذ إذا
הם אסתופוא אלתעלם לם	هم استوفوا التعلُّم لم
יכון פי מא בינהם כ'לף	يكون في ما بينهم خلف
ולא שגב . פלא ירד אלג'אהל	ولا شغب . فلا يرد الجاهل
אלצ'ג'ר ד'נבה עלי אלבארי	الضجر ذنبه على الباري
ג'ל ועז יקול הו נצב לה	جلَّ وعزَّ يقول هو نصب له
אלשכוך בל ג'הלה או צ'ג'רה	الشُّكوك بل جهله أو ضجره
אוקעה פיהא עלי מא שרחנא	أوقعه فيها على ما شرحنا
בל לא יג'וז אן יכון פעל	بل لا يجوز أن يكون فعل
מן אפעאלה דפעה ירפע אלשבה	من أفعاله دفعة يرفع الشُبَه
פיכ'רג' ען רסם אלמכ'לוקין	فيخرج عن رسم المخلوقين
והו מכ'לוק . ומן לם יחל	وهو مخلوق . ومَن لم يحل
בהד'א ד'נבה עלי רבה לכנה	بهذا ذنبه على ربِّه لكنِّه
תמני אן יג'עלה . אללה	تمنَّى أنْ يجعله . الله
יעלם עלמא לא שבהה מעה	يعلم علمًا لا شبهة معه
פאנמא סאל אן יג'עלה רבה	فإنَّما سأل أنْ يجعله ربَّه
שביהא בה לאן אלד'י יעלם	شبيهًا به لأنَّ الذي يعلم
בלא סבב הו כ'אלק אלכל	بلا سبب هو خالق الكلّ
תבארך ותקדס ועלי מא סנבין	تبارك وتقدَّس وعلى ما سنُبيِّن
פי מא יסתאנף ואמא סאיר	في ما يُستأنف وأمَّا سائر
אלכ'לק פלא ימכן עלמהם	الخلق فلا يمكن علمهم
אלא בסבב והו אלטלב ואלנט'ר	إلاَّ بسبب وهو الطَّلب والنَّظر
אלמחתאג'ון אלי מדד כמא	المُحتاجون إلى مدد كما
וצפנא פהם מן אול אן תלך	وصفنا فهم من أوَّل أنَّ تلك
אלמדד אלי אכ'רהא פי שבה	المدد إلى آخرها في شُبَه
עלי מא שרחנא ואלמחמודון	على ما شرحنا والمَحمودون
הם אלצאברון אלי אן יכ'לצוא	هم الصَّابرون إلى أنْ يخلِّصوا
אלפצ'ה מן אלזיף כקולה	الفضَّة من الزِّيف كقوله
: H H H H H H ואלי אן	: H H H H H H وإلى أنْ
ימכ'צ'וא אלצנאעה פיכ'רג'וא	يمخضوا الصِّناعة فيُخرجوا
זבדהא כקולה : H H H H	زبدَها كقوله : H H H H
H ، H H H H ואלי אן ינבת	H ، H H H H وإلى أنْ ينبت
זרעהם פיחצדוה כקולה :	زرعهم فيحصدوه كقوله :
H H H ، H H H . ואלי	H H H ، H H H . وإلى
אן תנצ'ג' אלת'מרה מן	أنْ تنضج الثَّمرة من
שג'רהם פתציר גד'א כקולה	شجرهم فتصير غذاءً كقوله
: H H H H H . פרגנא ממא	: H H H H H . فرغنا ممّا
ארדנא אן נד'כרה מן חל	أَردنا أنْ نذكره من حلِّ
אלשבה ואלשכוך פינבגי	الشُبَه والشُّكوك فينبغي
אן נבין אלאעתקאד ונקול	أنْ نُبيِّن الاعتقاد ونقول
אנה מעני יקום פי אלנפס	إنَّه معنى يقوم في النَّفس
לכל שי מעלום באלחאל אלתי	لكل شيء معلوم بالحال التي
הו עליהא פאד'א כ'רג'הֿ	هو عليها فإذا خرجت
זבדהֿ אלנט'ר אכתנפתהא	زبدة النَّظر اكتنفتها
אלעקול פאנטות עליהא וחצלתהא	العقول فانطوت عليها وحصَّلتها
פי אלנפוס פמאזג'תהא פצאר	في النفوس فمازجتها فصار
אלאנסאן מעתקדא לד'לך	الإنسان معتقدًا لذلك
אלמעני אלד'י חצל לה ורפעה	المعنى الذي حصل له ورفعه
פי נפסה לוקת אכ'ר או	في نفسه لوقت آخر أو
לאוקאת כקולה : H H H	لأوقات كقوله : H H H
، H H H H וקאל איצ'א	، H H H H وقال أيضًا
: H H H H . ואלאעתקאד	: H H H H . والاعتقاد
עלי צ'רבין חק ובאטל פאלאעתקאד	على ضربين حقّ وباطل فالاعتقاد
אלחקיקי הו אן יעתקד אלשי	الحقيقي هو أنْ يعتقد الشيء
עלי מא הו אלכת'יר כת'ירא	على ما هو الكثير كثيرًا
, ואלקליל קלילא ואלסואד	, والقليل قليلاً والسَّواد
סואדא ואלביאץ' ביאצ'א	سوادًا والبياض بياضًا
ואלמוג'וד מוג'ודא ואלמעדום	والموجود موجودًا والمعدوم
מעדומא . ואלאעתקאד אלבאטל	معدومًا . والاعتقاد الباطل
הו אן יעתקד אלשי בכ'לאף	هو أنْ يعتقد الشيء بخلاف
מא הו אלכת'יר קלילא ואלקליל	ما هو الكثير قليلاً والقليل
כת'ירא ואלביאץ' סואדא	كثيرًا والبياض سوادًا
ואלסואד ביאצ'א ואלמוג'וד	والسَّواد بياضًا والموجود
מעדומא ואלמעדום מוג'ודא	معدومًا والمعدوم موجودًا
. פאלחכים אלחמיד מן ג'על	. فالحكيم الحميد من جعل
חקאיק אלאשיא אצל ואג'רי	حقائق الأشياء أصل وأجرى
אעתקאדה עליה ומע חכמתה	اعتقاده عليه ومع حكمته
פהו ית'ק אלמות'וק ויחד'ר	فهو يثق الموثوق ويحذَر
מן אלמחד'ור . ואלג'אהל	من المحذور . والجاهل
אלד'מים מן ג'על אעתקאדה	الذميم مَن جعل اعتقاده
הו אלאצל וקדר אן חקאיק	هو الأصل وقدَّر أن حقائق
אלאשיא תתבע אעתקאדה ומע	الأشياء تتبع اعتقاده ومع
ג'הלה פהו ית'ק אלי אלמחד'ור	جهله فهو يثق إلى المحذور
ויחד'ר מן אלמות'וק ועלי	ويحذر مِنْ الموثوق وعلى
מא קאל : H H H H ، H	ما قال : H H H H ، H
H H . ואצ'יף אלי הד'א	H H . وأُضيفُ إلى هذا
אלקול ד'כר תעג'בי מן	القول ذكر تعجُّبي من
קום הם עביד אעתקדוא אנה	قوم هم عبيد اعتقدوا أنَّه
לא מולא להם ואעתמדוא	لا مولى لهم واعتمدوا
עלי אן מא אנכרוה בטל	على أنَّ ما أَنكروه بطل
ומא את'בתוה ת'בת האולא	وما أَثبتوه ثبُت هؤلاء
אלראסכ'ון פי גמראת אלג'הל	الرَّاسخون في غمرات الجهل
וקד בלגוא אלי חצ'יץ'	وقد بلغو إلى حضيض
אלהלאך . פאן כאנוא צאדקין	الهلاك . فإنْ كانوا صادقين
פמן כאן מנהם לא מאל לה	فمَن كان منهم لا مال له
פליעתקד אן צנאדיקה ואספאטה	فليعتقد أنَّ صناديقه وأَسفاطه
ממלוה מאלא פירי מא אלד'י	مملوءة مالاً فيرى ما الذي
ינפעה או יעתקד אנה אבן	ينفعه أو يعتقد أنَّه ابن
סבעין סנה והו אבן ארבעין	سبعين سنة وهو ابن أربعين
פינט'ר מא יג'דו עליה	فينظر ما يجدوا عليه
או יעתקד אלשבע אד'א כאן	أو يعتقد الشَّبع إذا كان
ג'איעא ואלרי אד'א כאן	جائعًا والري إذا كان
עטשאן ואלאסתתאר אד'א	عطشان والاستتار إذا
כאן עריאנא פינט'ר חאלה	كان عريانًا فينظر حاله
כיף תכון . ומן כאן מנהם	كيف تكون . ومَن كان منهم
לה עדו מלט פיעתקד אן	له عدو ملط فيعتقد أنَّ
עדוה קד מאת והלך פלא	عدوَّه قد مات وهلك فلا
יחד'רה פמא אסרע מא יאתיה	يحذره فما أسرع ما يأتيه
מא לם יכ'פה והד'א הו	ما لم يخفه وهذا هو
אלג'הל אלמחץ' מן קום	الجهل المحض من قوم
ט'נוא אנהם אד'א לם יעתקדוא	ظنُّوا أَنَّهم إذا لم يعتقدوا
רבוביה אסתראחוא מן אמרה	ربوبية استراحوا من أَمره
ונהיה וועדה וועידה וסאיר	ونهيه ووعده ووعيده وسائر
מא לאם ד'לך ויקול אלכתאב	ما لام ذلك ويقول الكتاب
פי מת'להם : H H H ، .	في مثلهم : H H H ، .
והוד'א בעץ' אלהנד קד	وهوذا بعض الهند قد
תג'לד עלי אלנאר פהי לה	تجلُدُ على النَّار فهي له
מחרקה כל מא באשרהא ובעץ'	محرقة كلّ ما باشرها وبعض
אלמתפתיין יתג'לד עלי	المتفتِّيين يتجلَّد على
אלעצי ואלמקארע והי תולמה	العصي والمقارع وهي تؤلمه
אי וקת טלעתה כד'אך ואשד	أي وقت طلعته كذاك وأَشد
תכון חאל אלמתג'ריין עלי	تكون حال المتجرِّئين على
כ'אלק אלכל פי הד'א אלמעני	خالق الكلّ في هذا المعنى
פהם מע ג'הלהם לא יסלמון	فهم مع جهلهم لا يسلمون
ממא אלזמתה חכמתה וכקולה	ممّا ألزمته حكمته وكقوله
: H H H H ، H H H H .	: H H H H ، H H H H .
ואד' קד אנקצ'י מא ארדנא	وإذ قد انقضى ما أردنا
אלחאקה באלקול אלאול פינבגי	إلحاقه بالقول الأوَّل فينبغي
אן נד'כר מואד אלחק ומעטיאת	أنْ نذكر موائد الحقّ ومعطيات
אליקין , אלתי הי מעדן	اليقين , التي هي معدن
לכל מעלום , וינבוע לכל	لكل معلوم , وينبوع لكل
מערוף ונתכלם עליהא במקדאר	معروف ونتكلَّم عليها بمقدار
מא יואפק קול צדר הד'א	ما يوافق قول صدر هذا
אלכתאב ונקול אנהא ת'לאת'	الكتاب ونقول إنَّها ثلاث
מואד אלאולי עלם אלשאהד	موائد الأولى عِلْم الشَّاهد
ואלת'אניה עלם אלעקל ואלת'אלת'ה	والثانية عِلْم العقل والثالثة
